ticket_id,service,priority,opened_at,due_at,status,assigned_team,resolution_time_hours,sla_breach_risk,penalty_cost,issue_type,queue_delay_hours,waiting_hours,processing_steps,last_updated_at,breach_flag,actual_penalty_exposure,recommended_action
HD-1008543,Service C07HR0C-0,Highest,2022-09-08T09:27:36Z,2022-09-08T17:27:36Z,Closed,Support Pod 097,4.12,Medium,9000,Ticket,0.24,1.22,6,2022-09-08T13:34:36Z,False,0,Monitor queue health and prepare backup staffing if delay increases.
HD-1003072,Service C05GPW20_,Blocker,2021-10-24T06:38:47Z,2021-10-24T10:38:47Z,Closed,Support Pod 186,0.88,Low,15000,Ticket,0.03,0.0,3,2021-10-24T07:31:31Z,False,0,Continue monitoring under normal SLA watch.
HD-1007922,Service C06GGZCZ0,Blocker,2022-08-07T06:07:40Z,2022-08-07T10:07:40Z,Closed,Support Pod 120,0.85,Low,15000,Ticket,0.02,0.0,4,2022-08-07T06:58:48Z,False,0,Continue monitoring under normal SLA watch.
HD-1010446,Service C06HG2XCU,Medium,2022-12-11T20:20:41Z,2022-12-12T20:20:41Z,Closed,Support Pod 193,16.07,Medium,2000,Ticket,0.02,0.0,4,2022-12-12T12:25:04Z,False,0,Monitor queue health and prepare backup staffing if delay increases.
HD-1000928,Service C06GGZT_0,Medium,2021-06-02T06:15:06Z,2021-06-03T06:15:06Z,Closed,Support Pod 104,23.18,High,2000,Ticket,0.36,4.82,3,2021-06-03T05:26:01Z,False,2000,Escalate to support lead and reassign capacity before the SLA deadline.
HD-1012215,Service C06GG10,Medium,2023-02-27T15:40:01Z,2023-02-28T15:40:01Z,Closed,Support Pod 272,14.66,Medium,2000,Ticket,0.01,0.0,5,2023-02-28T06:19:50Z,False,0,Monitor queue health and prepare backup staffing if delay increases.
HD-24809,Service DB6,Medium,2017-11-20T12:08:48Z,2017-11-21T12:08:48Z,Done,Unassigned Queue,17.27,Medium,2000,Story,0.0,0.0,2,2017-11-21T05:24:43Z,False,0,Monitor queue health and prepare backup staffing if delay increases.
HD-1009050,Service C06GGZT_0,Highest,2022-10-05T05:58:23Z,2022-10-05T13:58:23Z,Closed,Support Pod 043,4.37,Medium,9000,Ticket,0.01,0.0,5,2022-10-05T10:20:44Z,False,0,Monitor queue health and prepare backup staffing if delay increases.
HD-1010471,Service C06GG0.T,Highest,2022-12-12T10:09:21Z,2022-12-12T18:09:21Z,Closed,Support Pod 272,3.02,Low,9000,Ticket,0.12,1.1,5,2022-12-12T13:10:24Z,False,0,Continue monitoring under normal SLA watch.
HD-1000647,Service C06GSN039,Blocker,2021-05-16T10:14:17Z,2021-05-16T14:14:17Z,Closed,Support Pod 264,548.5,Breached,15000,Ticket,0.01,0.0,4,2021-06-08T06:44:01Z,True,15000,Immediate escalation to operations lead and reroute to rapid response queue.
HD-28977,Service T.N2,Blocker,,,Done,Support Pod 193,,Low,15000,Task,1.44,0.0,4,,False,0,Continue monitoring under normal SLA watch.
HD-1003527,Service C11GKZ_0,Blocker,2021-11-24T12:05:50Z,2021-11-24T16:05:50Z,Closed,Support Pod 216,1126.0,Breached,15000,Ticket,0.62,0.0,3,2022-01-10T10:05:54Z,True,15000,Immediate escalation to operations lead and reroute to rapid response queue.
HD-1011120,Service DX8A,Medium,2023-01-11T13:31:09Z,2023-01-12T13:31:09Z,Closed,Unassigned Queue,16.98,Medium,2000,Ticket,16.98,0.0,1,2023-01-12T06:30:02Z,False,0,Monitor queue health and prepare backup staffing if delay increases.
HD-1008445,Service C06HG2XCU,Highest,2022-09-05T13:02:58Z,2022-09-05T21:02:58Z,Closed,Support Pod 193,1.59,Low,9000,Ticket,0.02,0.0,4,2022-09-05T14:38:13Z,False,0,Continue monitoring under normal SLA watch.
HD-1000152,Service C12GGZCZ0U,Highest,2021-04-05T05:10:08Z,2021-04-05T13:10:08Z,Closed,Support Pod 263,1.88,Low,9000,Ticket,0.03,1.63,4,2021-04-05T07:02:57Z,False,0,Continue monitoring under normal SLA watch.
HD-1009914,Service C13GRB20,Highest,2022-11-16T05:06:06Z,2022-11-16T13:06:06Z,Closed,Support Pod 180,2.33,Low,9000,Ticket,0.05,0.0,2,2022-11-16T07:25:54Z,False,0,Continue monitoring under normal SLA watch.
HD-1012397,Service C06HG2XCU,High,2023-03-05T19:35:00Z,2023-03-06T07:35:00Z,Closed,Unassigned Queue,11.81,High,5000,Ticket,11.81,0.0,1,2023-03-06T07:23:25Z,False,5000,Escalate to support lead and reassign capacity before the SLA deadline.
HD-1003661,Service C12GGZCZ0U,Highest,2021-12-01T06:22:12Z,2021-12-01T14:22:12Z,Closed,Support Pod 176,2.59,Low,9000,Ticket,0.1,0.0,3,2021-12-01T08:57:53Z,False,0,Continue monitoring under normal SLA watch.
HD-1000268,Service C13GG0XA,Blocker,2021-04-13T07:29:12Z,2021-04-13T11:29:12Z,Closed,Support Pod 180,0.49,Low,15000,Ticket,0.06,0.0,3,2021-04-13T07:58:52Z,False,0,Continue monitoring under normal SLA watch.
HD-1012372,Service C06HG2XCU,High,2023-03-05T19:35:00Z,2023-03-06T07:35:00Z,Closed,Unassigned Queue,11.59,High,5000,Ticket,11.59,0.0,1,2023-03-06T07:10:38Z,False,5000,Escalate to support lead and reassign capacity before the SLA deadline.
HD-1007488,Service C06GGT2_0,High,2022-07-13T07:44:35Z,2022-07-13T19:44:35Z,Closed,Support Pod 274,7.04,Medium,5000,Ticket,0.02,0.0,4,2022-07-13T14:47:05Z,False,0,Monitor queue health and prepare backup staffing if delay increases.
HD-1005206,Service C11GK.Z0,Blocker,2022-02-21T04:54:05Z,2022-02-21T08:54:05Z,Closed,Support Pod 205,387.73,Breached,15000,Ticket,0.32,384.45,3,2022-03-09T08:38:09Z,True,15000,Immediate escalation to operations lead and reroute to rapid response queue.
HD-1001951,Service C13GRB__0,Medium,2021-08-11T07:43:48Z,2021-08-12T07:43:48Z,Closed,Support Pod 203,23.67,High,2000,Ticket,23.67,0.0,2,2021-08-12T07:23:46Z,False,2000,Escalate to support lead and reassign capacity before the SLA deadline.
HD-11941,Service D1Z0,High,2016-02-28T21:47:53Z,2016-02-29T09:47:53Z,Done,Unassigned Queue,9.16,Medium,5000,Vacation,0.01,0.0,2,2016-04-02T12:20:21Z,False,0,Monitor queue health and prepare backup staffing if delay increases.
HD-1007650,Service C06HGFZ_X,Blocker,2022-07-21T15:29:54Z,2022-07-21T19:29:54Z,Closed,Support Pod 141,231.81,Breached,15000,Ticket,0.01,87.74,5,2022-07-31T07:18:48Z,True,15000,Immediate escalation to operations lead and reroute to rapid response queue.
HD-1008171,Service C11GG0D.NZ_,Blocker,2022-08-22T04:54:52Z,2022-08-22T08:54:52Z,Closed,Support Pod 220,172.48,Breached,15000,Ticket,2.85,0.0,5,2022-08-29T09:23:26Z,True,15000,Immediate escalation to operations lead and reroute to rapid response queue.
HD-13723,Service DBZ,Blocker,2015-12-06T18:01:01Z,2015-12-06T22:01:01Z,Done,Support Pod 160,831.3,Breached,15000,Ticket,72.86,0.0,4,2016-04-02T13:18:52Z,True,15000,Immediate escalation to operations lead and reroute to rapid response queue.
HD-1001438,Service C12GGZ_0,Highest,2021-07-04T11:28:17Z,2021-07-04T19:28:17Z,Closed,Support Pod 263,1.49,Low,9000,Ticket,0.01,0.0,4,2021-07-04T12:57:43Z,False,0,Continue monitoring under normal SLA watch.
